announced,body_type,camera_name,sensor_size,dp_score,n_had,n_own,n_want,price_high,price_low,questions,reviewed_date,user_review_count,user_score
"Jul 13, 2006
 ",Compact,FujiFilm FinePix S6000fd (FinePix S6500fd),"1/1.7"" (7.44 x 5.58 mm)",,54,27,0,,,4 questions asked,"Reviewed Dec 6, 2006",56,4.45357
"Jan 30, 2002
 ",Compact,Fujifilm FinePix S602 Zoom,"1/1.7"" (7.44 x 5.58 mm)",,54,9,0,,,0 questions asked,"Reviewed Apr 29, 2002",181,4.56906
"Nov 18, 2002
 ",Compact,Fujifilm FinePix S602Z Pro,"1/1.7"" (7.44 x 5.58 mm)",,12,1,0,,,0 questions asked,,54,4.47593
"Jul 29, 2003
 ",Compact,Fujifilm FinePix S7000 Zoom,"1/1.7"" (7.44 x 5.58 mm)",,47,22,2,,,1 question asked,"Reviewed Jan 18, 2004",153,4.58105
"Jul 26, 2007
 ",Compact,Fujifilm FinePix S8000fd,"1/2.35"" (5.76 x 4.32 mm)",,8,4,0,,,3 questions asked,"Reviewed Nov 30, 2007",21,4.09524
"Jan 24, 2008
 ",Compact,Fujifilm FinePix S8100fd,"1/2.3"" (6.17 x 4.55 mm)",,2,3,0,,,1 question asked,"Reviewed Jan 15, 2009",,
"Jan 7, 2013
 ",SLR-like (bridge),Fujifilm FinePix S8200,"1/2.3"" (6.17 x 4.55 mm)",,3,4,2,$399.00 ,$239.99 ,2 questions asked,,,
"Jan 7, 2013
 ",SLR-like (bridge),Fujifilm FinePix S8300,"1/2.3"" (6.17 x 4.55 mm)",,0,3,0,$399.00 ,$239.99 ,1 question asked,,,
"Mar 22, 2013
 ",SLR-like (bridge),Fujifilm FinePix S8400W,"1/2.3"" (6.17 x 4.55 mm)",,1,1,3,$399.00 ,$239.99 ,2 questions asked,,1,4.5
"Jan 7, 2013
 ",SLR-like (bridge),Fujifilm FinePix S8500,"1/2.3"" (6.17 x 4.55 mm)",,0,2,0,$399.00 ,$239.99 ,3 questions asked,,,
"Jan 6, 2014
 ",SLR-like (bridge),Fujifilm FinePix S8600,"1/2.3"" (6.17 x 4.55 mm)",,0,1,2,,,4 questions asked,,2,2.75
"Jul 28, 2005
 ",Compact,FujiFilm FinePix S9000 Zoom (FinePix S9500),"1/1.6"" (8 x 6 mm)",,46,13,1,,,0 questions asked,"Reviewed Oct 31, 2005",122,4.24672
"Aug 24, 2006
 ",Compact,FujiFilm FinePix S9100 (FinePix S9600),"1/1.6"" (8 x 6 mm)",,37,20,0,,,4 questions asked,,65,4.43231
"Jan 6, 2014
 ",SLR-like (bridge),Fujifilm FinePix S9200,"1/2.3"" (6.17 x 4.55 mm)",,0,1,1,,,2 questions asked,,1,3.5
"Jan 6, 2014
 ",SLR-like (bridge),Fujifilm FinePix S9400W,"1/2.3"" (6.17 x 4.55 mm)",,2,6,0,,,5 questions asked,,,
"Jan 15, 2015
 ",SLR-like (bridge),Fujifilm FinePix S9800,"1/2.3"" (6.17 x 4.55 mm)",,0,0,0,,,1 question asked,,,
"Jan 15, 2015
 ",SLR-like (bridge),Fujifilm FinePix S9900W,"1/2.3"" (6.17 x 4.55 mm)",,1,0,0,,,4 questions asked,"Reviewed Jun 17, 2015",2,3
"Jan 7, 2013
 ",SLR-like (bridge),Fujifilm FinePix SL1000,"1/2.3"" (6.17 x 4.55 mm)",,2,15,6,,,19 questions asked,,2,4
"Jan 5, 2012
 ",SLR-like (bridge),Fujifilm FinePix SL240,"1/2.3"" (6.17 x 4.55 mm)",,1,1,1,,,1 question asked,,,
"Jan 5, 2012
 ",SLR-like (bridge),Fujifilm FinePix SL300,"1/2.3"" (6.17 x 4.55 mm)",,0,1,1,,,2 questions asked,,,
"Jan 5, 2011
 ",Compact,FujiFilm FinePix T200 (FinePix T205),"1/2.3"" (6.17 x 4.55 mm)",,1,2,0,,,0 questions asked,,,
